시군구,침수로 인한 이재민 수(명),1시간최대 강수량
부산 동래구,1972,83.0 
부산 북구,553,86.0 
부산 해운대구,106,51.5 
부산 금정구,795,69.0 
부산 강서구,347,71.5 
부산 연제구,567,51.5 
부산 기장군,1414,117.5 
울산 동구,144,30.0 
울산 울주군,812,15.5 
경남 창원시,455,29.0 
경기도 하남시,113,51.0 
경기도 가평군,151,60.0 
경기도 이천시,502,70.0 
경기도 광주시,635,71.5 
경기도 여주군,386,56.0 
경기도 안양시,566,38.5 
경기도 안산시,112,28.5 
강원 춘천시,295,22.0 
서울 성동구,200,45.0 
서울 마포구,160,37.0 
서울 양천구,115,43.0 
서울 구로구,200,43.5 
부산 사하구,109,16.5 
인천 남구,267,62.5 
인천 연수구,148,62.5 
인천 부평구,109,62.5 
인천 계양구,138,62.5 
인천 서구,105,62.5 
경기도 수원시,1090,109.0 
경기도 안양시,678,43.0 
경기도 광명시,101,19.0 
경기도 안산시,355,77.7 
경기도 시흥시,108,50.0 
경기도 용인시,155,30.0 
경기도 화성시,171,35.0 
경기도 안양시,106,25.0 
경기도 안산시,300,70.0 
경기도 연천군,120,34.0 
경기도 광주시,177,14.0 
충남 태안군,268,11.5 
전북 군산시,3343,97.0 
전남 목포시,262,40.0 
전남 나주시,124,35.0 
전남 보성군,110,30.0 
전남 장흥군,204,45.0 
전남 해남군,198,30.0 
전남 무안군,235,44.0 
전남 영광군,177,25.0 
전남 진도군,603,70.0 
전남 신안군,148,20.0 
경북 포항시,312,40.0 
경준 김천시,579,60.0 
경북 구미시,147,22.0 
경북 고령군,108,27.0 
경북 성주군,1251,70.0 
경남 통영시,219,30.0 
경남 사천시,141,24.0 
경남 남해군,105,22.2 
경남 합천군,128,25.4 
제주특별자치도,407,40.0 
제주특별자치도,116,15.0 
인천 남구,125,16.7 
경기도 안양시,205,19.0 
전북 군산시,101,18.4 
경북 청도군,128,29.0 
경남 진주시,118,24.4 
서울 종로구,147,22.2 
서울 동대문구,324,67.0 
서울 중랑구,121,43.5 
서울 성북구,544,66.1 
서울 강북구,752,70.5 
서울 은평구,1073,71.0 
서울 서대문구,674,40.1 
서울 마포구,506,48.5 
서울 양천구,2321,79.2 
서울 강서구,1500,74.5 
서울 구로구,685,52.5 
서울 금천구,1784,82.4 
서울 동작구,2815,88.6 
서울 관악구,5307,105.2 
서울 서초구,7197,104.2 
서울 강남구,2854,86.1 
서울 송파구,1969,18.5 
서울 강동구,2933,42.1 
부산 영도구,566,20.1 
부산 남구,895,94.2 
부산 사하구,138,48.3 
인천 남구,1346,64.2 
인천 남동구,252,43.0 
인천 부평구,1439,51.0 
인천 계양구,414,43.0 
인천 서구,734,52.0 
경기도 성남시,253,42.5 
경기도 의정부시,466,49.2 
경기도 안양시,189,35.4 
경기도 부천시,3568,57.2 
경기도 광명시,1049,52.4 
경기도 동두천시,4095,72.1 
경기도 고양시,813,68.0 
경기도 과천시,120,42.0 
경기도 구리시,266,44.0 
경기도 남양주시,1172,74.0 
경기도 시흥시,132,35.0 
경기도 하남시,400,42.0 
경기도 용인시,673,56.0 
경기도 파주시,800,72.2 
경기도 화성시,138,42.1 
경기도 광주시,3743,81.2 
경기도 양주시,778,54.1 
경기도 포천시,820,75.5 
경기도 연천군,496,75.4 
경기도 가평군,232,84.2 
경기도 양평군,144,12.5 
전북 정읍시,1449,73.2 
전북 임실군,133,42.0 
전북 고창군,185,45.0 
전남 여수시,338,65.0 
전남 광양시,304,55.0 
경남 하동군,124,54.0 
제주특별자치도,106,24.0 
